Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
oT_happy2,1,4,tongue,phonemes,61,vC,o,t,4154035,4154376,4153935,alveolar,stop,no,alveolar
Ti_happy2,1,4,tongue,phonemes,62,Cv,t,i,4161969,4162061,4161869,alveolar,stop,no,alveolar
De_angry1,0,3,control_tongue,phonemes,63,Cv,d,e,4169933,4169979,4169833,alveolar,stop,yes,alveolar
uB_angry1,1,1,tongue,phonemes,64,vC,u,b,4177933,4178270,4177833,alveolar,stop,no,alveolar
oD_angry1,1,3,tongue,phonemes,65,vC,o,d,4185933,4186352,4185833,alveolar,stop,no,alveolar
Bu_happy1,0,1,control_tongue,phonemes,66,Cv,b,u,4193967,4194034,4193867,bilabial,stop,yes,bilabial
Pe_happy1,1,2,tongue,phonemes,67,Cv,p,e,4201962,4202063,4201862,bilabial,stop,no,bilabial
oP_happy1,0,2,control_tongue,phonemes,68,vC,o,p,4209961,4210296,4209861,alveolar,stop,no,alveolar
iD_angry1,1,3,tongue,phonemes,69,vC,i,d,4217961,4218281,4217861,alveolar,stop,no,alveolar
oP_angry1,1,2,tongue,phonemes,70,vC,o,p,4225960,4226278,4225860,alveolar,stop,no,alveolar
eP_happy2,1,2,tongue,phonemes,71,vC,e,p,4233958,4234243,4233858,alveolar,stop,no,alveolar
Bo_happy2,1,1,tongue,phonemes,72,Cv,b,o,4241957,4242011,4241857,bilabial,stop,yes,bilabial
De_happy1,0,3,control_tongue,phonemes,73,Cv,d,e,4250026,4250076,4249926,alveolar,stop,yes,alveolar
To_happy1,1,4,tongue,phonemes,74,Cv,t,o,4257989,4258071,4257889,alveolar,stop,no,alveolar
aP_happy1,1,2,tongue,phonemes,75,vC,a,p,4265954,4266259,4265854,alveolar,stop,no,alveolar
Ta_angry2,0,4,control_tongue,phonemes,76,Cv,t,a,4273954,4274039,4273854,alveolar,stop,no,alveolar
eD_angry2,0,3,control_tongue,phonemes,77,vC,e,d,4282016,4282325,4281916,alveolar,stop,no,alveolar
iB_angry2,0,1,control_tongue,phonemes,78,vC,i,b,4290017,4290347,4289917,alveolar,stop,no,alveolar
Po_angry1,1,2,tongue,phonemes,79,Cv,p,o,4297983,4298062,4297883,bilabial,stop,no,bilabial
Bu_angry2,0,1,control_tongue,phonemes,80,Cv,b,u,4305948,4306017,4305848,bilabial,stop,yes,bilabial
iP_happy1,0,2,control_tongue,phonemes,81,vC,i,p,4314051,4314360,4313951,alveolar,stop,no,alveolar
uT_happy1,1,4,tongue,phonemes,82,vC,u,t,4322017,4322334,4321917,alveolar,stop,no,alveolar
oT_happy1,1,4,tongue,phonemes,83,vC,o,t,4329978,4330305,4329878,alveolar,stop,no,alveolar
