Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
B5,0,NaN,control_lip,single-phoneme,2431846,2431699,230,b,,,NaN,NaN,bilabial,stop,yes,bilabial
Pe_happy1,1,8,lip,phonemes,2483784,2483684,231,p,e,,2483885,NaN,bilabial,stop,no,bilabial
Ta_happy1,1,5,lip,phonemes,2489378,2489278,232,t,a,,2489515,NaN,alveolar,stop,no,alveolar
Bu_angry1,1,7,lip,phonemes,2494973,2494873,233,b,u,,2495042,NaN,bilabial,stop,yes,bilabial
To_happy2,0,5,control_lip,phonemes,2500567,2500467,234,t,o,,2500654,NaN,alveolar,stop,no,alveolar
Da_angry2,1,4,lip,phonemes,2506163,2506063,235,d,a,,2506219,NaN,alveolar,stop,yes,alveolar
Pu_happy2,0,8,control_lip,phonemes,2511757,2511657,236,p,u,,2511839,NaN,bilabial,stop,no,bilabial
De_happy1,1,4,lip,phonemes,2517351,2517251,237,d,e,,2517401,NaN,alveolar,stop,yes,alveolar
Bu_happy1,1,7,lip,phonemes,2522947,2522847,238,b,u,,2523014,NaN,bilabial,stop,yes,bilabial
Do_angry1,1,4,lip,phonemes,2528541,2528441,239,d,o,,2528594,NaN,alveolar,stop,yes,alveolar
Pi_angry1,1,8,lip,phonemes,2534136,2534036,240,p,i,,2534301,NaN,bilabial,stop,no,bilabial
Bo_angry2,0,7,control_lip,phonemes,2539730,2539630,241,b,o,,2539784,NaN,bilabial,stop,yes,bilabial
Ta_happy2,1,5,lip,phonemes,2545324,2545224,242,t,a,,2545394,NaN,alveolar,stop,no,alveolar
De_happy2,1,4,lip,phonemes,2550920,2550820,243,d,e,,2550971,NaN,alveolar,stop,yes,alveolar
Pe_angry1,0,8,control_lip,phonemes,2556513,2556413,244,p,e,,2556662,NaN,bilabial,stop,no,bilabial
Pu_angry1,1,8,lip,phonemes,2562108,2562008,245,p,u,,2562191,NaN,bilabial,stop,no,bilabial
Da_angry1,0,4,control_lip,phonemes,2567702,2567602,246,d,a,,2567756,NaN,alveolar,stop,yes,alveolar
Bi_happy2,1,7,lip,phonemes,2573298,2573198,247,b,i,,2573352,NaN,bilabial,stop,yes,bilabial
Do_happy1,1,4,lip,phonemes,2578892,2578792,248,d,o,,2578944,NaN,alveolar,stop,yes,alveolar
Pi_happy1,0,8,control_lip,phonemes,2584488,2584388,249,p,i,,2584547,NaN,bilabial,stop,no,bilabial
Do_angry2,0,4,control_lip,phonemes,2590082,2589982,250,d,o,,2590135,NaN,alveolar,stop,yes,alveolar
Ti_happy2,1,5,lip,phonemes,2595677,2595577,251,t,i,,2595769,NaN,alveolar,stop,no,alveolar
Bo_happy1,1,7,lip,phonemes,2601271,2601171,252,b,o,,2601325,NaN,bilabial,stop,yes,bilabial
Te_angry2,1,5,lip,phonemes,2606866,2606766,253,t,e,,2606978,NaN,alveolar,stop,no,alveolar
Pa_happy1,0,8,control_lip,phonemes,2612459,2612359,254,p,a,,2612597,NaN,bilabial,stop,no,bilabial
Da_happy2,1,4,lip,phonemes,2618055,2617955,255,d,a,,2618110,NaN,alveolar,stop,yes,alveolar
Bu_angry2,0,7,control_lip,phonemes,2623649,2623549,256,b,u,,2623718,NaN,bilabial,stop,yes,bilabial
Po_angry2,1,8,lip,phonemes,2629244,2629144,257,p,o,,2629329,NaN,bilabial,stop,no,bilabial
Ta_angry2,0,5,control_lip,phonemes,2634837,2634737,258,t,a,,2634922,NaN,alveolar,stop,no,alveolar
Du_angry2,1,4,lip,phonemes,2640433,2640333,259,d,u,,2640519,NaN,alveolar,stop,yes,alveolar
